ID,Title,Play,Year,Directors,Medium,Country,Faithful?,IMDb Rating, BoxOffice , Budget ,URL,New Time Period?,Reviewers
0,All's Well That Ends Well,All's Well That Ends Well,1968,"John Barton (director), Claude Whatham (screen)",TV,UK,Yes,,,,https://www.imdb.com/title/tt0062651/?ref_=fn_al_tt_7,,0
1,All's Well That Ends Well,All's Well That Ends Well,1978,Wilford Leach,Video,US,Yes,7.1,,,https://www.imdb.com/title/tt0077148/?ref_=fn_al_tt_5,,15
2,"All's Well That Ends Well
(BBC Television Shakespeare)",All's Well That Ends Well,1981,Elijah Moshinsky,TV,UK,Yes,6.9,,,https://www.imdb.com/title/tt0080352/?ref_=fn_al_tt_1,No,160
3,"All's Well That Ends Well
(National Theatre Live)",All's Well That Ends Well,2009,Marianne Elliott,TV,UK,Yes,6.6,25184,,https://www.imdb.com/title/tt1568800/?ref_=fn_al_tt_6,Yes,16
4,As You Like It,As You Like It,1912,"J. Stuart Blackton
Charles Kent
James Young",Silent,US,Yes,4.1,,,https://www.imdb.com/title/tt0002031/?ref_=nv_sr_srsg_7_tt_8_nm_0_q_as%2520you%2520like%2520it,No,25
5,Love in a Wood,As You Like It,1915,Maurice Elvey,Silent,UK,No,,,,,,
6,As You Like It,As You Like It,1936,Paul Czinner,Film,UK,Yes,5.8,,,https://www.imdb.com/title/tt0027311/?ref_=nv_sr_srsg_2_tt_8_nm_0_q_as%2520you%2520like%2520it,No,843
7,As You Like It,As You Like It,1963,"Michael Elliott (stage)
Ronald Eyre (TV)",TV,UK,Yes,9.4,,,https://www.imdb.com/title/tt0056837/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_as%2520you%2520like%2520it%25201963,,158
8,"As You Like It
(BBC Television Shakespeare)",As You Like It,1978,Basil Coleman,TV,UK,Yes,7.1,,,https://www.imdb.com/title/tt0077180/?ref_=ttep_ep3,No,354
9,As You Like It,As You Like It,1983,Herb Roland,TV,Canada,Yes,6.8,,,https://www.imdb.com/title/tt1300565/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_as%2520you%2520like%2520it%25201983,,10
